frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,Use_Case
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2,0,1,0,0,129,11,1,32,255.0,112,-50.81743885600337,279.6491270970575,384.8052315722739,567.1986196601943,0
72,1,0,2,1,2,11,1,7,1,6,1,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,10,1,16,15.0,78,-125.309,279.6491270970575,384.8052315722739,567.1986196601943,0
196,1,2,0,2,1,3,1,1,7,2,1,0,0.000887,0,0,0,0,1,9,0,5,0,0,129,5,0,42,1.0,0,-125.309,279.6491270970575,384.8052315722739,567.1986196601943,0
72,1,0,2,1,2,11,1,5,1,6,1,0,-1.0,0,0,0,0,1,7,0,7,0,0,129,7,0,55,2.0,53,-125.309,279.6491270970575,384.8052315722739,567.1986196601943,0
142,1,2,0,2,1,1,1,1,5,13,1,0,0.000915,0,0,0,0,1,1,0,8,0,0,129,4,0,58,1.0,58,-125.309,279.6491270970575,384.8052315722739,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,8,0,2,0,0,129,6,0,33,0.0,110,-125.309,279.6491270970575,384.8052315722739,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,6,0,4,0,0,129,8,0,38,1.0,148,-125.309,279.6491270970575,384.8052315722739,-125.49,0
72,1,0,2,1,2,11,1,6,1,6,1,0,-1.0,4,1,12,0,1,0,0,6,0,0,129,5,0,46,1.0,19,-125.309,279.6491270970575,-197.574,-125.49,0
239,1,2,0,2,1,7,1,1,6,7,1,0,0.002067,0,0,0,0,1,4,0,0,0,0,129,10,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,8,2,24,0,1,5,0,3,0,0,129,9,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,2,0,1,0,0,129,12,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,3,0,10,0,0,129,11,1,16,15.0,78,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,9,0,5,0,0,129,6,0,42,1.0,0,-125.309,-51.0801,-197.574,-125.49,0
42,0,2,3,0,0,0,0,0,0,0,0,0,-1.0,4,1,12,0,1,7,0,7,0,0,129,8,0,55,2.0,50,-125.309,-51.0801,-197.574,-125.49,0
60,0,0,3,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,1,1,0,8,0,0,129,5,0,58,1.0,59,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,4,1,6,1,0,-1.0,6,1,18,0,1,8,0,2,0,0,129,7,0,33,0.0,110,-125.309,-51.0801,-197.574,-125.49,0
286,1,2,0,2,1,9,1,1,4,9,1,0,0.002077,0,0,0,0,1,6,0,4,0,0,129,9,0,38,1.0,148,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,11,1,6,1,0,-1.0,6,1,18,0,1,0,0,6,0,0,129,6,0,46,1.0,20,-125.309,-51.0801,-197.574,-125.49,0
293,1,2,0,2,1,10,1,1,11,10,1,0,0.001054,0,0,0,0,1,4,0,0,0,0,129,11,1,28,127.0,97,-125.309,-51.0801,-197.574,-125.49,0
72,1,0,2,1,2,11,1,3,1,6,1,0,-1.0,0,0,0,0,1,5,0,3,0,0,129,10,1,36,511.0,150,-125.309,-51.0801,-197.574,-125.49,0
206,1,2,0,2,1,4,1,1,3,3,1,0,0.001397,0,0,0,0,1,2,0,1,0,0,129,13,1,32,255.0,113,-125.309,-51.0801,-197.574,-125.49,0
